x_label;y_label;cl_x;cl_y;hl_x;hl_y;id7
50;D;33.8079;1.9887;0;0;TUBE.230
52;D;35.1337;1.9887;0;0;TUBE.231
54;D;36.4595;1.9887;0;0;TUBE.232
37;E;25.1902;2.6516;0;0;TUBE.233
39;E;26.516;2.6516;0;0;TUBE.234
41;E;27.8418;2.6516;0;0;TUBE.235
43;E;29.1676;2.6516;0;0;TUBE.236
45;E;30.4934;2.6516;0;0;TUBE.237
47;E;31.8192;2.6516;0;0;TUBE.238
49;E;33.145;2.6516;0;0;TUBE.239
51;E;34.4708;2.6516;0;0;TUBE.240
53;E;35.7966;2.6516;0;0;TUBE.241
55;E;37.1224;2.6516;0;0;TUBE.242
38;F;25.8531;3.3145;0;0;TUBE.243
40;F;27.1789;3.3145;0;0;TUBE.244
42;F;28.5047;3.3145;0;0;TUBE.245
44;F;29.8305;3.3145;0;0;TUBE.246
46;F;31.1563;3.3145;0;0;TUBE.247
48;F;32.4821;3.3145;0;0;TUBE.248
50;F;33.8079;3.3145;0;0;TUBE.249
52;F;35.1337;3.3145;0;0;TUBE.250
54;F;36.4595;3.3145;0;0;TUBE.251
37;G;25.1902;3.9774;0;0;TUBE.252
39;G;26.516;3.9774;0;0;TUBE.253
41;G;27.8418;3.9774;0;0;TUBE.254
43;G;29.1676;3.9774;0;0;TUBE.255
45;G;30.4934;3.9774;0;0;TUBE.256
47;G;31.8192;3.9774;0;0;TUBE.257
49;G;33.145;3.9774;0;0;TUBE.258
51;G;34.4708;3.9774;0;0;TUBE.259
53;G;35.7966;3.9774;0;0;TUBE.260
38;H;25.8531;4.6403;0;0;TUBE.261
40;H;27.1789;4.6403;0;0;TUBE.262
42;H;28.5047;4.6403;0;0;TUBE.263
44;H;29.8305;4.6403;0;0;TUBE.264
46;H;31.1563;4.6403;0;0;TUBE.265
48;H;32.4821;4.6403;0;0;TUBE.266
50;H;33.8079;4.6403;0;0;TUBE.267
52;H;35.1337;4.6403;0;0;TUBE.268
54;H;36.4595;4.6403;0;0;TUBE.269
37;I;25.1902;5.3032;0;0;TUBE.270
39;I;26.516;5.3032;0;0;TUBE.271
41;I;27.8418;5.3032;0;0;TUBE.272
43;I;29.1676;5.3032;0;0;TUBE.273
45;I;30.4934;5.3032;0;0;TUBE.274
47;I;31.8192;5.3032;0;0;TUBE.275
49;I;33.145;5.3032;0;0;TUBE.276
51;I;34.4708;5.3032;0;0;TUBE.277
53;I;35.7966;5.3032;0;0;TUBE.278
38;J;25.8531;5.9661;0;0;TUBE.279
40;J;27.1789;5.9661;0;0;TUBE.280
42;J;28.5047;5.9661;0;0;TUBE.281
44;J;29.8305;5.9661;0;0;TUBE.282
